Day	03-1	03-2	03-3	07-1	07-2	07-3	14-1	14-2	14-3	21-1	21-2	21-3	28-1	28-2	28-3	35-1	35-2	35-3	45-1	45-2	45-3	65-1	65-2	65-3	85-1	85-2	85-3
WSC	12.43	12.45	12.6	16.97	16.15	16.31	22.57	22.06	22.41	34.06	34.22	34.14	64.17	63.25	61.96	42.75	42.26	42.8	28.5	28.42	28.69	22.37	21.88	22.12	17.53	17.11	17.15
WSN	15.43	16.42	16.54	16.46	17.19	16.66	21.54	21.45	21.49	19.1	18.5	18.67	15.23	15.33	15.23	14.96	13.48	13.79	8.36	9.68	8.37	7.42	7.37	6.6	3.66	4.59	4.36
TN	0.87	0.87	0.87	1.17	1.13	1.06	1.09	1.12	1.1	1.95	1.95	1.95	1.55	1.58	1.58	1.23	1.36	1.33	1.51	1.58	1.54	1.87	1.83	1.83	1.8	1.8	1.8
TC	32.24	32.75	32.12	31.4	31.23	31.47	28.64	28.58	28.67	31.34	31.25	31.24	24.67	24.65	24.57	30.81	30.52	30.82	22.13	22.16	21.9	22.3	22.85	23.46	22.1	22.04	21.96
C/N	36.89	37.46	36.82	26.95	27.74	29.78	26.34	25.41	26.1	16.04	16.05	15.99	15.97	15.61	15.58	24.95	22.5	23.18	14.66	14.05	14.24	11.94	12.5	12.79	12.3	12.27	12.22
Moisture	0.79	0.78	0.8	0.69	0.78	0.75	0.75	0.76	0.77	0.76	0.77	0.77	0.74	0.53	0.61	0.6	0.71	0.67	0.61	0.61	0.58	0.52	0.54	0.53	0.43	0.39	0.36
pH	8.4	8.38	8.3	8.36	8.27	8.3	8.31	8.04	8.18	8.16	8.11	8.28	7.63	7.7	7.59	7.7	7.68	7.81	7.93	7.68	7.92	7.61	7.6	7.54	7.56	7.68	7.79
EC	1.71	1.79	1.75	1.25	1.12	0.98	1.09	1.24	1.07	2.66	1.46	1.28	1.74	1.53	1.95	1.28	1.15	1.13	1.06	1.07	1.17	1.37	1.28	1.19	1.91	1.89	1.67
Nitrate_reductase	46.09090909	49.42857143	46.60465116	45.42243437	45.20300752	37.84841076	46.34285714	52.17	50.25365854	76.36363636	90.28571429	93.76744186	94.65714286	92.49	86.13658537	94.48571429	104.91	71.76585366	12.08571429	13.86	10.53658537	27.08571429	38.7	41.97073171	14.72727273	10.28571429	18.13953488
Nitrite_reductase	7.685328	8.055408	8.456328	5.110188	4.129476	3.090168	21.810048	15.117768	21.316608	30.661128	22.581048	24.153888	24.789192	23.527836	23.42298	22.087608	15.148608	15.025248	22.642728	18.140088	12.866448	30.383568	26.528568	31.879308	28.656528	17.862528	28.378968
Protease	6.916426513	6.242774566	4.439306358	30.38150289	32.36887608	26.00576369	7.386743516	9.697109827	11.77175793	2.913294798	1.798270893	5.25648415	4.329682997	6.61734104	6.501440922	3.482080925	0.23583815	1.383285303	10.19481268	16.97291066	17.47976879	11.23699422	3.74566474	2.913294798	9.01734104	5.11815562	5.53314121
Urease	110.4712042	18.32460733	147.1204188	740.8376963	808.9005236	835.078534	1479.057592	1379.581152	1170.157068	960.7329843	489.5287958	191.0994764	510.4712042	482.1989529	295.8115183	329.3193717	276.9633508	390.052356	229.8429319	172.2513089	182.7225131	180.6282723	138.7434555	91.62303665	74.86910995	201.5706806	75.91623037
End-glucan	340.30	384.53	396.03	411.95	423.45	371.26	497.76	527.83	538.45	758.71	709.18	708.29	589.76	572.95	617.18	465.91	482.72	540.22	407.53	397.80	381.88	363.30	373.03	375.69	354.45	335.88	357.11
Exo_glucan	16.07	34.76	4.86	98.31	238.50	317.00	331.95	201.11	447.83	524.46	406.71	380.55	679.60	399.24	627.26	505.77	606.70	631.00	404.84	335.69	195.51	255.32	208.59	171.21	34.76	287.09	40.37
Xylanase	455.30	400.45	520.76	842.75	759.60	736.60	1704.96	1761.57	1850.03	1719.11	1761.57	1743.88	1471.43	1427.20	1466.12	1368.81	1282.12	1213.13	1083.98	1124.67	972.52	807.98	763.75	786.75	760.22	776.14	728.37
B_glucosidase	376.81	745.02	513.25	502.04	477.74	715.11	1574.52	1626.85	1118.46	1817.98	2302.59	2205.67	2232.43	1424.99	1634.33	1484.80	1432.47	1447.42	1910.95	1858.62	1619.37	782.40	911.37	898.28	1006.69	1019.77	965.57
